cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo
22,Rodrigo,Contreras,rodrigo.contreras22@mail.cl,Masculino,2023-08-01,Valparaíso,Chile,23.0,2430267.0,False
23,Carolina,Díaz,carolina.díaz23@mail.cl,F,2022-07-09,RM,Chile,44.0,2003165.0,True
24,Camila,Flores,camila.flores24@mail.cl,M,2023-12-11,,Chile,,2454109.0,True
25,Juan,Rojas,juan.rojas25@mail.cl,F,2023-11-15,RM,Chile,49.0,1513343.0,False
26,Sebastián,Díaz,sebastián.díaz26@mail.cl,M,2023-03-18,Araucanía,Chile,56.0,1265313.0,True
27,Juan,Pérez,juan.pérez27@mail.cl,M,2024-08-09,RM,Chile,66.0,725281.0,False
28,Carolina,Soto,carolina.soto28@mail.cl,Masculino,2023-01-20,RM,Chile,19.0,1242452.0,False
29,Francisca,Soto,francisca.soto29@mail.cl,Femenino,2022-09-04,Valparaíso,Chile,28.0,609751.0,True
30,Juan,Valenzuela,juan.valenzuela30@mail.cl,F,2022-10-07,Coquimbo,Chile,51.0,1483237.0,False
31,Andrés,Valenzuela,andrés.valenzuela31@mail.cl,Femenino,2022-05-24,Biobío,Chile,23.0,551663.0,True
32,Pedro,Díaz,pedro.díaz32@mail.cl,Femenino,2024-08-12,RM,Chile,43.0,2107618.0,True
33,Pedro,Díaz,pedro.díaz33@mail.cl,Femenino,2023-05-04,Valparaíso,Chile,56.0,1387121.0,False
34,Juan,Morales,juan.morales34@mail.cl,Femenino,2023-04-18,RM,Chile,48.0,2158845.0,False
35,Pedro,Contreras,pedro.contreras35@mail.cl,Femenino,2022-05-24,Biobío,Chile,69.0,2019163.0,True
36,María,González,maría.gonzález36@mail.cl,Femenino,2022-09-11,Antofagasta,Chile,54.0,1840575.0,True
37,Felipe,Martínez,felipe.martínez37@mail.cl,M,2024-03-26,,Chile,37.0,2079159.0,False
38,Daniela,González,daniela.gonzález38@mail.cl,Femenino,2023-09-20,RM,Chile,25.0,1291971.0,False
39,Daniela,Díaz,daniela.díaz39@mail.cl,F,2023-05-25,Araucanía,Chile,42.0,1267836.0,False
40,Constanza,Muñoz,constanza.muñoz40@mail.cl,F,2024-04-01,Coquimbo,Chile,58.0,1118467.0,True
41,Camila,González,camila.gonzález41@mail.cl,F,2024-03-26,Valparaíso,Chile,25.0,939430.0,True
42,Juan,González,juan.gonzález42@mail.cl,Femenino,2023-04-05,Coquimbo,Chile,39.0,781974.0,False
43,Constanza,Espinoza,constanza.espinoza43@mail.cl,F,2022-08-18,RM,Chile,25.0,1699386.0,True
44,María,Pérez,maría.pérez44@mail.cl,F,2022-10-11,Valparaíso,Chile,50.0,2298596.0,False
45,Rodrigo,Rojas,rodrigo.rojas45@mail.cl,Femenino,2023-07-01,Biobío,Chile,34.0,2260427.0,False
46,Constanza,Flores,constanza.flores46@mail.cl,F,2023-06-02,RM,Chile,,2368836.0,False
47,Rodrigo,González,rodrigo.gonzález47@mail.cl,F,2022-06-30,Coquimbo,Chile,50.0,1148307.0,True
48,Rodrigo,Pérez,rodrigo.pérez48@mail.cl,Femenino,2022-05-08,RM,Chile,59.0,1013758.0,False
49,Francisca,Rojas,francisca.rojas49@mail.cl,Femenino,2023-11-17,RM,Chile,49.0,1552590.0,False
50,Felipe,Muñoz,felipe.muñoz50@mail.cl,Masculino,2022-06-04,RM,Chile,43.0,697392.0,False
51,Juan,Martínez,juan.martínez51@mail.cl,Masculino,2022-09-03,RM,Chile,46.0,1030089.0,True
52,Francisca,Rojas,francisca.rojas52@mail.cl,F,2024-07-09,Valparaíso,Chile,24.0,720984.0,False
53,Rodrigo,Díaz,rodrigo.díaz53@mail.cl,M,2023-05-27,,Chile,,2032875.0,True
54,Felipe,Valenzuela,felipe.valenzuela54@mail.cl,Femenino,2024-04-13,Coquimbo,Chile,39.0,618834.0,True
55,Francisca,Valenzuela,francisca.valenzuela55@mail.cl,F,2022-05-30,Coquimbo,Chile,39.0,1579600.0,False
56,Francisca,Soto,francisca.soto56@mail.cl,Masculino,2024-12-13,Coquimbo,Chile,54.0,1662208.0,False
57,Diego,Araya,diego.araya57@mail.cl,Femenino,2022-01-05,Coquimbo,Chile,23.0,2270348.0,False
58,Camila,Espinoza,camila.espinoza58@mail.cl,Masculino,2024-05-16,Valparaíso,Chile,69.0,2309039.0,True
59,María,Araya,maría.araya59@mail.cl,F,2023-10-19,RM,Chile,36.0,528251.0,False
60,Felipe,López,felipe.lópez60@mail.cl,M,2022-04-27,RM,Chile,26.0,600235.0,True
61,Juan,López,juan.lópez61@mail.cl,F,2023-05-28,Coquimbo,Chile,49.0,2211741.0,False
62,Sebastián,Silva,sebastián.silva62@mail.cl,M,2024-06-15,Araucanía,Chile,56.0,2102239.0,True
63,Diego,Soto,diego.soto63@mail.cl,M,2022-09-04,RM,Chile,43.0,567215.0,True
64,Diego,Soto,diego.soto64@mail.cl,M,2024-12-28,RM,Chile,47.0,578781.0,False
65,Diego,Araya,diego.araya65@mail.cl,Femenino,2022-08-06,Biobío,Chile,38.0,1905478.0,False
66,Juan,Espinoza,juan.espinoza66@mail.cl,F,2022-12-23,RM,Chile,27.0,2283541.0,True
67,Camila,Muñoz,camila.muñoz67@mail.cl,Femenino,2024-02-01,Araucanía,Chile,49.0,,False
68,Diego,Flores,diego.flores68@mail.cl,Femenino,2024-11-05,RM,Chile,19.0,1118992.0,False
69,Andrés,Díaz,andrés.díaz69@mail.cl,Femenino,2023-11-21,Coquimbo,Chile,50.0,1552576.0,True
70,Pedro,Morales,pedro.morales70@mail.cl,M,2024-12-02,RM,Chile,30.0,1503531.0,True
71,Constanza,Muñoz,constanza.muñoz71@mail.cl,M,2023-05-14,Valparaíso,Chile,40.0,2165872.0,False
72,Daniela,Flores,daniela.flores72@mail.cl,F,2024-08-27,RM,Chile,51.0,2392466.0,True
73,Felipe,Díaz,felipe.díaz73@mail.cl,F,2023-02-17,RM,Chile,42.0,1609268.0,True
74,Sebastián,Díaz,sebastián.díaz74@mail.cl,F,2023-04-02,Coquimbo,Chile,52.0,1662928.0,True
75,Camila,Muñoz,camila.muñoz75@mail.cl,M,2022-04-06,RM,Chile,49.0,561476.0,False
76,Juan,Contreras,juan.contreras76@mail.cl,M,2022-10-06,Biobío,Chile,58.0,1734717.0,True
77,Juan,Espinoza,juan.espinoza77@mail.cl,Femenino,2023-12-30,RM,Chile,36.0,678352.0,False
78,Carolina,Flores,carolina.flores78@mail.cl,M,2022-03-17,RM,Chile,45.0,2024429.0,True
79,Camila,Rojas,camila.rojas79@mail.cl,F,2022-05-24,Coquimbo,Chile,52.0,2175659.0,True
80,Camila,Morales,camila.morales80@mail.cl,M,2023-07-23,RM,Chile,59.0,1045977.0,True
81,Constanza,Valenzuela,constanza.valenzuela81@mail.cl,F,2024-01-03,RM,Chile,35.0,2176014.0,False
82,Sebastián,López,sebastián.lópez82@mail.cl,F,2023-05-07,Antofagasta,Chile,55.0,1025830.0,False
83,Rodrigo,Silva,rodrigo.silva83@mail.cl,F,2024-08-03,Antofagasta,Chile,19.0,1763108.0,True
84,Diego,Soto,diego.soto84@mail.cl,Masculino,2023-05-15,RM,Chile,24.0,1192440.0,True
85,Camila,Díaz,camila.díaz85@mail.cl,F,2023-03-21,RM,Chile,56.0,2191738.0,False
86,Francisca,Rojas,francisca.rojas86@mail.cl,Masculino,2022-06-22,RM,Chile,45.0,1290141.0,False
87,Camila,Araya,camila.araya87@mail.cl,Femenino,2024-04-08,Biobío,Chile,56.0,2387232.0,True
88,Rodrigo,Araya,rodrigo.araya88@mail.cl,F,2023-05-20,RM,Chile,66.0,2096824.0,False
89,Juan,Soto,juan.soto89@mail.cl,M,2022-05-14,Biobío,Chile,62.0,1153983.0,True
90,Rodrigo,Valenzuela,rodrigo.valenzuela90@mail.cl,M,2022-03-21,Coquimbo,Chile,28.0,1231899.0,True
91,Camila,Rojas,camila.rojas91@mail.cl,Masculino,2022-02-16,Valparaíso,Chile,31.0,759214.0,True
92,Juan,Pérez,juan.pérez92@mail.cl,F,2023-10-18,Valparaíso,Chile,28.0,1365291.0,False
93,Daniela,Soto,daniela.soto93@mail.cl,Femenino,2023-10-30,RM,Chile,45.0,2063299.0,False
94,Daniela,López,daniela.lópez94@mail.cl,Femenino,2023-06-24,RM,Chile,58.0,1291267.0,False
95,Andrés,Soto,andrés.soto95@mail.cl,Masculino,2024-07-17,Coquimbo,Chile,30.0,1190907.0,False
96,Rodrigo,Flores,rodrigo.flores96@mail.cl,F,2023-01-25,Araucanía,Chile,22.0,1075278.0,True
97,María,López,maría.lópez97@mail.cl,Femenino,2024-03-08,Antofagasta,Chile,62.0,1717540.0,True
98,Daniela,González,daniela.gonzález98@mail.cl,F,2024-12-24,Coquimbo,Chile,64.0,612816.0,True
99,Diego,López,diego.lópez99@mail.cl,Masculino,2024-04-06,Biobío,Chile,30.0,651456.0,False
100,Sebastián,Rojas,sebastián.rojas100@mail.cl,Masculino,2023-01-20,RM,Chile,23.0,1823483.0,True
101,Diego,Valenzuela,diego.valenzuela101@mail.cl,M,2024-02-10,Coquimbo,Chile,54.0,700244.0,True
102,Francisca,López,francisca.lópez102@mail.cl,Masculino,2023-04-02,RM,Chile,68.0,1864652.0,True
103,Camila,Espinoza,camila.espinoza103@mail.cl,M,2024-05-30,Biobío,Chile,,1584763.0,True
104,Daniela,Contreras,daniela.contreras104@mail.cl,F,2022-09-07,Coquimbo,Chile,20.0,1118362.0,False
105,Carolina,González,carolina.gonzález105@mail.cl,F,2022-08-24,Coquimbo,Chile,47.0,1848346.0,True
106,Juan,Valenzuela,juan.valenzuela106@mail.cl,Masculino,2024-07-07,Biobío,Chile,38.0,1364141.0,False
107,Andrés,Rojas,andrés.rojas107@mail.cl,Masculino,2024-02-03,Araucanía,Chile,67.0,817537.0,False
108,Constanza,Valenzuela,constanza.valenzuela108@mail.cl,Masculino,2023-03-11,Antofagasta,Chile,69.0,856600.0,False
109,Juan,Silva,juan.silva109@mail.cl,Masculino,2024-10-16,RM,Chile,59.0,753490.0,True
110,Diego,Flores,diego.flores110@mail.cl,Femenino,2022-05-18,Antofagasta,Chile,27.0,2059312.0,False
111,Camila,Silva,camila.silva111@mail.cl,M,2023-06-30,Valparaíso,Chile,19.0,1094124.0,False
112,Andrés,Morales,andrés.morales112@mail.cl,Femenino,2022-04-21,RM,Chile,,702846.0,True
113,Valentina,Silva,valentina.silva113@mail.cl,Femenino,2022-12-26,Valparaíso,Chile,42.0,1805794.0,False
114,Pedro,Morales,pedro.morales114@mail.cl,M,2023-11-03,RM,Chile,68.0,1965746.0,True
115,Diego,Muñoz,diego.muñoz115@mail.cl,Femenino,2023-11-13,RM,Chile,38.0,2112613.0,True
116,Diego,Martínez,diego.martínez116@mail.cl,Femenino,2022-12-12,Antofagasta,Chile,66.0,591865.0,True
117,Andrés,Martínez,andrés.martínez117@mail.cl,F,2022-09-06,Coquimbo,Chile,39.0,1427982.0,False
118,Constanza,Morales,constanza.morales118@mail.cl,Masculino,2022-02-17,RM,Chile,43.0,1088579.0,True
119,Daniela,González,daniela.gonzález119@mail.cl,Masculino,2023-12-20,Coquimbo,Chile,39.0,1688365.0,False
120,Carolina,Contreras,carolina.contreras120@mail.cl,F,2022-12-31,RM,Chile,68.0,2471206.0,True
121,Felipe,Espinoza,felipe.espinoza121@mail.cl,Masculino,2024-03-16,Coquimbo,Chile,32.0,2119135.0,True
122,Felipe,Pérez,felipe.pérez122@mail.cl,Femenino,2023-12-15,Coquimbo,Chile,34.0,595462.0,False
123,Francisca,Espinoza,francisca.espinoza123@mail.cl,Femenino,2023-06-21,Antofagasta,Chile,37.0,1947960.0,False
124,Francisca,Rojas,francisca.rojas124@mail.cl,M,2022-04-19,Coquimbo,Chile,53.0,526069.0,False
125,Daniela,Silva,daniela.silva125@mail.cl,M,2024-01-18,RM,Chile,58.0,691076.0,False
126,Camila,López,camila.lópez126@mail.cl,Femenino,2022-11-11,Araucanía,Chile,54.0,921240.0,True
127,Diego,Soto,diego.soto127@mail.cl,M,2023-09-16,RM,Chile,28.0,2334813.0,False
128,Daniela,Contreras,daniela.contreras128@mail.cl,M,2024-01-29,RM,Chile,48.0,1533255.0,True
129,Camila,Silva,camila.silva129@mail.cl,Masculino,2022-01-06,RM,Chile,45.0,2232682.0,False
130,Valentina,Soto,valentina.soto130@mail.cl,M,2023-05-19,Valparaíso,Chile,19.0,1025134.0,True
131,Daniela,López,daniela.lópez131@mail.cl,Masculino,2022-06-22,Biobío,Chile,23.0,1447609.0,False
132,Camila,Rojas,camila.rojas132@mail.cl,Femenino,2022-08-13,Valparaíso,Chile,29.0,889678.0,True
133,Francisca,Espinoza,francisca.espinoza133@mail.cl,Femenino,2022-05-19,Araucanía,Chile,30.0,2058506.0,True
134,Juan,Soto,juan.soto134@mail.cl,F,2022-01-10,Coquimbo,Chile,27.0,1419723.0,False
135,Rodrigo,Silva,rodrigo.silva135@mail.cl,F,2022-11-17,RM,Chile,26.0,2485296.0,True
136,Andrés,Valenzuela,andrés.valenzuela136@mail.cl,Femenino,2022-11-14,Valparaíso,Chile,67.0,1675885.0,True
137,Daniela,Morales,daniela.morales137@mail.cl,M,2023-08-11,RM,Chile,18.0,2209351.0,False
138,Valentina,Araya,valentina.araya138@mail.cl,Femenino,2024-05-22,Biobío,Chile,47.0,2328130.0,True
139,Diego,Pérez,diego.pérez139@mail.cl,Masculino,2022-03-19,Coquimbo,Chile,21.0,1696632.0,True
140,Francisca,Martínez,francisca.martínez140@mail.cl,F,2022-10-23,Coquimbo,Chile,57.0,1588287.0,True
141,Rodrigo,Soto,rodrigo.soto141@mail.cl,M,2024-11-12,Coquimbo,Chile,50.0,1698744.0,True
142,Juan,Valenzuela,juan.valenzuela142@mail.cl,Masculino,2024-03-31,Antofagasta,Chile,68.0,2084166.0,True
143,Valentina,Soto,valentina.soto143@mail.cl,Masculino,2023-01-26,Valparaíso,Chile,59.0,980703.0,False
144,Rodrigo,González,rodrigo.gonzález144@mail.cl,Femenino,2023-04-23,Antofagasta,Chile,53.0,1075644.0,False
145,Sebastián,González,sebastián.gonzález145@mail.cl,M,2024-09-23,Biobío,Chile,50.0,1914397.0,False
146,Valentina,Muñoz,valentina.muñoz146@mail.cl,F,2023-06-01,Antofagasta,Chile,50.0,2119061.0,False
147,Rodrigo,Valenzuela,rodrigo.valenzuela147@mail.cl,Masculino,2022-08-16,Coquimbo,Chile,69.0,1851351.0,True
148,Rodrigo,Silva,rodrigo.silva148@mail.cl,M,2022-02-16,Coquimbo,Chile,62.0,1831329.0,True
149,Pedro,Rojas,pedro.rojas149@mail.cl,Femenino,2024-03-04,RM,Chile,22.0,1095603.0,True
150,Constanza,López,constanza.lópez150@mail.cl,Femenino,2023-07-04,RM,Chile,40.0,894030.0,False
151,Constanza,Morales,constanza.morales151@mail.cl,Femenino,2022-08-06,Coquimbo,Chile,35.0,1041656.0,True
152,Daniela,Araya,daniela.araya152@mail.cl,Masculino,2024-09-30,Coquimbo,Chile,21.0,695716.0,False
153,Diego,Silva,diego.silva153@mail.cl,Masculino,2024-10-05,Coquimbo,Chile,26.0,1799445.0,True
154,Rodrigo,Espinoza,rodrigo.espinoza154@mail.cl,Femenino,2024-02-18,Coquimbo,Chile,63.0,784260.0,True
155,Francisca,Espinoza,francisca.espinoza155@mail.cl,Femenino,2024-09-09,Antofagasta,Chile,68.0,2454727.0,True
156,Diego,Valenzuela,diego.valenzuela156@mail.cl,M,2022-07-21,Biobío,Chile,43.0,513224.0,True
157,Camila,Martínez,camila.martínez157@mail.cl,F,2022-03-16,Antofagasta,Chile,24.0,1674737.0,True
158,María,Morales,maría.morales158@mail.cl,M,2023-10-02,RM,Chile,61.0,1152026.0,True
159,Valentina,Silva,valentina.silva159@mail.cl,M,2023-12-11,RM,Chile,50.0,883152.0,True
160,Andrés,Soto,andrés.soto160@mail.cl,F,2022-06-05,RM,Chile,66.0,1795302.0,True
161,Camila,Martínez,camila.martínez161@mail.cl,M,2022-05-28,Coquimbo,Chile,45.0,2225502.0,True
162,Daniela,González,daniela.gonzález162@mail.cl,Masculino,2024-09-16,Valparaíso,Chile,36.0,,False
163,Constanza,Flores,constanza.flores163@mail.cl,M,2023-03-05,RM,Chile,,2166471.0,True
164,María,González,maría.gonzález164@mail.cl,F,2024-10-06,Coquimbo,Chile,45.0,1062288.0,False
165,Constanza,Soto,constanza.soto165@mail.cl,Masculino,2024-04-10,RM,Chile,,2464956.0,True
166,Felipe,Rojas,felipe.rojas166@mail.cl,Femenino,2024-02-17,RM,Chile,63.0,1407425.0,False
167,Juan,Contreras,juan.contreras167@mail.cl,Masculino,2024-10-28,RM,Chile,20.0,1005815.0,True
168,Andrés,Valenzuela,andrés.valenzuela168@mail.cl,M,2022-11-24,RM,Chile,64.0,962052.0,True
169,Pedro,González,pedro.gonzález169@mail.cl,Femenino,2024-10-03,Valparaíso,Chile,52.0,534911.0,False
170,Constanza,Silva,constanza.silva170@mail.cl,F,2023-05-06,Araucanía,Chile,69.0,999876.0,False
171,Diego,Espinoza,diego.espinoza171@mail.cl,Masculino,2024-04-02,Antofagasta,Chile,24.0,,True
172,Juan,Contreras,juan.contreras172@mail.cl,M,2022-05-27,RM,Chile,36.0,644931.0,True
173,Carolina,Muñoz,carolina.muñoz173@mail.cl,F,2024-03-25,Valparaíso,Chile,28.0,1127433.0,True
174,María,Rojas,maría.rojas174@mail.cl,Masculino,2023-01-31,Biobío,Chile,54.0,1496261.0,False
175,Constanza,Martínez,constanza.martínez175@mail.cl,F,2024-12-12,RM,Chile,69.0,2330393.0,False
176,Carolina,Silva,carolina.silva176@mail.cl,M,2023-12-15,,Chile,63.0,2056182.0,False
177,Juan,Muñoz,juan.muñoz177@mail.cl,Masculino,2023-06-10,Valparaíso,Chile,19.0,1262092.0,True
178,Felipe,Martínez,felipe.martínez178@mail.cl,F,2023-05-09,Araucanía,Chile,46.0,1756556.0,False
179,Felipe,Pérez,felipe.pérez179@mail.cl,Masculino,2024-04-17,Antofagasta,Chile,38.0,985417.0,False
180,Sebastián,Soto,sebastián.soto180@mail.cl,F,2024-11-06,Coquimbo,Chile,55.0,1152665.0,False
181,Felipe,Pérez,felipe.pérez181@mail.cl,F,2022-12-08,RM,Chile,48.0,2024357.0,True
182,Daniela,Muñoz,daniela.muñoz182@mail.cl,Femenino,2024-03-31,RM,Chile,62.0,1429168.0,False
183,Diego,Araya,diego.araya183@mail.cl,F,2023-09-26,Coquimbo,Chile,19.0,1649947.0,False
184,Andrés,González,andrés.gonzález184@mail.cl,Masculino,2023-11-24,Valparaíso,Chile,43.0,,True
185,Andrés,Silva,andrés.silva185@mail.cl,Masculino,2023-11-07,Valparaíso,Chile,56.0,728071.0,True
186,Valentina,Muñoz,valentina.muñoz186@mail.cl,Masculino,2023-09-15,Araucanía,Chile,39.0,1145188.0,False
187,Juan,López,juan.lópez187@mail.cl,Femenino,2024-01-21,RM,Chile,52.0,1449491.0,True
188,Juan,Espinoza,juan.espinoza188@mail.cl,Masculino,2022-12-31,RM,Chile,26.0,2236857.0,False
189,Diego,Martínez,diego.martínez189@mail.cl,M,2022-10-23,Valparaíso,Chile,42.0,1941852.0,True
190,Daniela,López,daniela.lópez190@mail.cl,M,2024-11-28,RM,Chile,67.0,927236.0,False
191,Carolina,Rojas,carolina.rojas191@mail.cl,F,2022-04-12,Coquimbo,Chile,36.0,1116036.0,False
192,Andrés,Morales,andrés.morales192@mail.cl,M,2024-08-14,Biobío,Chile,66.0,819278.0,False
193,Constanza,Silva,constanza.silva193@mail.cl,Masculino,2023-10-23,Biobío,Chile,54.0,2140821.0,False
194,Valentina,Silva,valentina.silva194@mail.cl,M,2023-04-11,Coquimbo,Chile,32.0,1806170.0,False
195,Sebastián,Flores,sebastián.flores195@mail.cl,F,2022-02-16,,Chile,33.0,2405350.0,True
196,Felipe,López,felipe.lópez196@mail.cl,M,2022-09-07,RM,Chile,32.0,1164180.0,True
197,Sebastián,Rojas,sebastián.rojas197@mail.cl,Femenino,2024-04-06,Araucanía,Chile,35.0,2371070.0,False
198,Camila,Contreras,camila.contreras198@mail.cl,Masculino,2023-02-06,Coquimbo,Chile,56.0,2160176.0,False
199,Daniela,Rojas,daniela.rojas199@mail.cl,Femenino,2022-07-07,Coquimbo,Chile,,634055.0,False
200,Felipe,Contreras,felipe.contreras200@mail.cl,Femenino,2022-02-08,RM,Chile,66.0,1855267.0,True
201,Valentina,Martínez,valentina.martínez201@mail.cl,M,2023-12-23,Coquimbo,Chile,62.0,1103561.0,False
202,Constanza,Muñoz,constanza.muñoz202@mail.cl,Masculino,2024-01-09,Antofagasta,Chile,47.0,1520154.0,True
203,Rodrigo,Flores,rodrigo.flores203@mail.cl,F,2024-11-28,RM,Chile,46.0,922845.0,True
204,Rodrigo,Espinoza,rodrigo.espinoza204@mail.cl,M,2024-01-18,Valparaíso,Chile,,1345038.0,True
205,Francisca,Espinoza,francisca.espinoza205@mail.cl,M,2022-12-06,Valparaíso,Chile,47.0,2289616.0,True
206,Rodrigo,Espinoza,rodrigo.espinoza206@mail.cl,Femenino,2022-11-20,Valparaíso,Chile,54.0,933816.0,False
207,Juan,Pérez,juan.pérez207@mail.cl,F,2023-08-08,RM,Chile,41.0,2278627.0,False
208,Andrés,López,andrés.lópez208@mail.cl,M,2022-03-02,RM,Chile,23.0,2204742.0,False
209,Constanza,Silva,constanza.silva209@mail.cl,Masculino,2024-12-21,Valparaíso,Chile,42.0,1310694.0,False
210,Camila,Morales,camila.morales210@mail.cl,Femenino,2024-06-03,Biobío,Chile,63.0,1363561.0,True
211,María,Martínez,maría.martínez211@mail.cl,F,2024-07-25,RM,Chile,20.0,645271.0,False
212,Diego,Pérez,diego.pérez212@mail.cl,F,2024-12-06,RM,Chile,26.0,,False
213,Francisca,González,francisca.gonzález213@mail.cl,M,2023-02-23,Biobío,Chile,34.0,874999.0,True
214,Pedro,Soto,pedro.soto214@mail.cl,M,2024-06-11,Coquimbo,Chile,26.0,2175843.0,False
215,Diego,Muñoz,diego.muñoz215@mail.cl,Masculino,2024-08-09,,Chile,45.0,991036.0,True
216,Pedro,Martínez,pedro.martínez216@mail.cl,F,2022-06-19,Biobío,Chile,57.0,2377528.0,True
217,Andrés,Morales,andrés.morales217@mail.cl,F,2024-09-10,RM,Chile,55.0,2225690.0,True
218,Francisca,Muñoz,francisca.muñoz218@mail.cl,F,2022-02-06,RM,Chile,30.0,2376763.0,True
219,Rodrigo,González,rodrigo.gonzález219@mail.cl,F,2024-11-29,Antofagasta,Chile,46.0,1632658.0,False
220,Pedro,Silva,pedro.silva220@mail.cl,Femenino,2022-02-09,Coquimbo,Chile,62.0,599616.0,False
221,Daniela,Rojas,daniela.rojas221@mail.cl,Femenino,2022-04-02,Antofagasta,Chile,65.0,2025416.0,True
222,Andrés,Flores,andrés.flores222@mail.cl,M,2022-12-22,Valparaíso,Chile,55.0,1602523.0,True
223,Diego,Morales,diego.morales223@mail.cl,M,2024-04-05,Coquimbo,Chile,48.0,1071926.0,False
224,Francisca,Morales,francisca.morales224@mail.cl,M,2022-03-23,Biobío,Chile,,1737580.0,True
225,Carolina,Contreras,carolina.contreras225@mail.cl,F,2024-12-05,RM,Chile,58.0,1020551.0,True
226,María,Araya,maría.araya226@mail.cl,Femenino,2024-05-05,Biobío,Chile,65.0,702053.0,True
227,Constanza,Contreras,constanza.contreras227@mail.cl,F,2024-09-20,RM,Chile,32.0,2164221.0,True
228,Rodrigo,Soto,rodrigo.soto228@mail.cl,Femenino,2024-07-04,Valparaíso,Chile,67.0,638563.0,True
229,Juan,Araya,juan.araya229@mail.cl,F,2023-02-05,Coquimbo,Chile,18.0,,False
230,Daniela,Morales,daniela.morales230@mail.cl,F,2022-11-02,Araucanía,Chile,64.0,1049148.0,False
231,Camila,Morales,camila.morales231@mail.cl,Masculino,2024-08-05,Biobío,Chile,24.0,1343804.0,True
232,Juan,Soto,juan.soto232@mail.cl,Masculino,2022-03-20,Biobío,Chile,28.0,1315673.0,True
233,Francisca,Muñoz,francisca.muñoz233@mail.cl,F,2024-01-08,Araucanía,Chile,,1113474.0,True
234,Sebastián,Contreras,sebastián.contreras234@mail.cl,Masculino,2024-06-05,Biobío,Chile,28.0,785555.0,False
235,María,Valenzuela,maría.valenzuela235@mail.cl,F,2024-11-11,RM,Chile,20.0,1272944.0,False
236,Carolina,Silva,carolina.silva236@mail.cl,Femenino,2024-09-15,Araucanía,Chile,33.0,2331780.0,True
237,Camila,Soto,camila.soto237@mail.cl,Masculino,2023-07-24,Antofagasta,Chile,32.0,1494465.0,True
238,Pedro,González,pedro.gonzález238@mail.cl,M,2024-03-02,RM,Chile,32.0,1964811.0,False
239,Andrés,Silva,andrés.silva239@mail.cl,Femenino,2023-03-06,RM,Chile,46.0,1486420.0,False
240,Andrés,Espinoza,andrés.espinoza240@mail.cl,F,2022-07-18,Valparaíso,Chile,61.0,1786836.0,False
241,Carolina,López,carolina.lópez241@mail.cl,Masculino,2024-07-04,Biobío,Chile,42.0,1596413.0,False
242,Felipe,González,felipe.gonzález242@mail.cl,F,2023-06-05,RM,Chile,39.0,2340117.0,True
243,Diego,Muñoz,diego.muñoz243@mail.cl,Femenino,2023-08-07,RM,Chile,30.0,1215472.0,False
