venta_id,fecha_venta,cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,cliente_activo,producto_id,producto,categoria_id,nombre_categoria,cantidad,precio_unitario,total_venta,canal_venta
2025-037,2025-06-22,188,Juan,Espinoza,juan.espinoza188@mail.cl,Masculino,2022-12-31,RM,Chile,26.0,2236857.0,False,2,Mouse,2,Accesorios,1,169292,169292,Tienda Física
2025-038,2025-12-24,123,Francisca,Espinoza,francisca.espinoza123@mail.cl,Femenino,2023-06-21,Antofagasta,Chile,37.0,1947960.0,False,2,Mouse,2,Accesorios,4,605600,2422400,Tienda Física
2025-039,2025-08-22,162,Daniela,González,daniela.gonzález162@mail.cl,Masculino,2024-09-16,Valparaíso,Chile,36.0,,False,4,Monitor,1,Tecnología,4,771019,3084076,App
2025-040,2025-07-03,13,María,Valenzuela,maría.valenzuela13@mail.cl,Masculino,2024-03-02,RM,Chile,62.0,1785160.0,True,4,Monitor,1,Tecnología,2,795858,1591716,Tienda Física
2025-041,2025-02-24,120,Carolina,Contreras,carolina.contreras120@mail.cl,Femenino,2022-12-31,RM,Chile,68.0,2471206.0,True,3,Teclado,2,Accesorios,2,33782,67564,Web
2025-042,2025-11-17,295,Camila,Espinoza,camila.espinoza295@mail.cl,Femenino,2022-01-02,RM,Chile,21.0,2304377.0,True,1,Notebook,1,Tecnología,1,163245,163245,Web
2025-043,2025-01-21,269,Francisca,Flores,francisca.flores269@mail.cl,Femenino,2024-04-23,Biobío,Chile,18.0,1423780.0,False,3,Teclado,2,Accesorios,1,464418,464418,Web
2025-044,2025-08-02,281,Sebastián,Espinoza,sebastián.espinoza281@mail.cl,Femenino,2024-03-11,Valparaíso,Chile,48.0,1333487.0,False,1,Notebook,1,Tecnología,3,672550,2017650,App
2025-045,2025-01-10,74,Sebastián,Díaz,sebastián.díaz74@mail.cl,Femenino,2023-04-02,Coquimbo,Chile,52.0,1662928.0,True,4,Monitor,1,Tecnología,4,559523,2238092,App
2025-046,2025-06-27,14,Rodrigo,González,rodrigo.gonzález14@mail.cl,Masculino,2023-06-05,Biobío,Chile,61.0,633767.0,False,4,Monitor,1,Tecnología,2,117507,235014,Web
2025-047,2025-01-30,22,Rodrigo,Contreras,rodrigo.contreras22@mail.cl,Masculino,2023-08-01,Valparaíso,Chile,23.0,2430267.0,False,4,Monitor,1,Tecnología,1,197450,197450,Tienda Física
2025-048,2025-01-12,264,Constanza,Contreras,constanza.contreras264@mail.cl,Femenino,2024-07-28,RM,Chile,19.0,1843862.0,True,6,Tablet,1,Tecnología,2,178785,357570,App
2025-049,2025-03-16,127,Diego,Soto,diego.soto127@mail.cl,Masculino,2023-09-16,RM,Chile,28.0,2334813.0,False,1,Notebook,1,Tecnología,4,451904,1807616,Tienda Física
2025-050,2025-12-15,241,Carolina,López,carolina.lópez241@mail.cl,Masculino,2024-07-04,Biobío,Chile,42.0,1596413.0,False,2,Mouse,2,Accesorios,2,209775,419550,App
2025-051,2025-07-28,294,Camila,Espinoza,camila.espinoza294@mail.cl,Masculino,2024-01-21,Coquimbo,Chile,25.0,1670575.0,False,2,Mouse,2,Accesorios,4,687800,2751200,App
2025-052,2025-06-05,157,Camila,Martínez,camila.martínez157@mail.cl,Femenino,2022-03-16,Antofagasta,Chile,24.0,1674737.0,True,3,Teclado,2,Accesorios,1,553296,553296,Tienda Física
2025-053,2025-05-17,147,Rodrigo,Valenzuela,rodrigo.valenzuela147@mail.cl,Masculino,2022-08-16,Coquimbo,Chile,69.0,1851351.0,True,3,Teclado,2,Accesorios,2,506043,1012086,App
2025-054,2025-03-24,141,Rodrigo,Soto,rodrigo.soto141@mail.cl,Masculino,2024-11-12,Coquimbo,Chile,50.0,1698744.0,True,1,Notebook,1,Tecnología,2,528767,1057534,Tienda Física
2025-055,2025-08-06,186,Valentina,Muñoz,valentina.muñoz186@mail.cl,Masculino,2023-09-15,Araucanía,Chile,39.0,1145188.0,False,5,Audífonos,2,Accesorios,1,626410,626410,Web
2025-056,2025-06-24,120,Carolina,Contreras,carolina.contreras120@mail.cl,Femenino,2022-12-31,RM,Chile,68.0,2471206.0,True,5,Audífonos,2,Accesorios,1,108538,108538,Web
2025-057,2025-01-24,101,Diego,Valenzuela,diego.valenzuela101@mail.cl,Masculino,2024-02-10,Coquimbo,Chile,54.0,700244.0,True,4,Monitor,1,Tecnología,3,392736,1178208,Tienda Física
2025-058,2025-04-04,281,Sebastián,Espinoza,sebastián.espinoza281@mail.cl,Femenino,2024-03-11,Valparaíso,Chile,48.0,1333487.0,False,1,Notebook,1,Tecnología,1,288355,288355,Tienda Física
2025-059,2025-05-20,211,María,Martínez,maría.martínez211@mail.cl,Femenino,2024-07-25,RM,Chile,20.0,645271.0,False,5,Audífonos,2,Accesorios,2,318112,636224,Web
2025-060,2025-02-10,28,Carolina,Soto,carolina.soto28@mail.cl,Masculino,2023-01-20,RM,Chile,19.0,1242452.0,False,3,Teclado,2,Accesorios,3,601343,1804029,App
2025-061,2025-08-15,256,Rodrigo,Contreras,rodrigo.contreras256@mail.cl,Masculino,2023-11-26,RM,Chile,61.0,1306481.0,False,4,Monitor,1,Tecnología,1,477835,477835,Tienda Física
2025-062,2025-07-29,13,María,Valenzuela,maría.valenzuela13@mail.cl,Masculino,2024-03-02,RM,Chile,62.0,1785160.0,True,5,Audífonos,2,Accesorios,1,121715,121715,Tienda Física
2025-063,2025-05-17,16,Francisca,Contreras,francisca.contreras16@mail.cl,Femenino,2022-02-10,Antofagasta,Chile,26.0,1579111.0,False,1,Notebook,1,Tecnología,2,498906,997812,App
2025-064,2025-04-19,100,Sebastián,Rojas,sebastián.rojas100@mail.cl,Masculino,2023-01-20,RM,Chile,23.0,1823483.0,True,5,Audífonos,2,Accesorios,1,591793,591793,Web
2025-065,2025-09-21,216,Pedro,Martínez,pedro.martínez216@mail.cl,Femenino,2022-06-19,Biobío,Chile,57.0,2377528.0,True,4,Monitor,1,Tecnología,2,164626,329252,App
2025-066,2025-01-28,149,Pedro,Rojas,pedro.rojas149@mail.cl,Femenino,2024-03-04,RM,Chile,22.0,1095603.0,True,6,Tablet,1,Tecnología,2,326480,652960,Web
2025-067,2025-08-23,252,Sebastián,Muñoz,sebastián.muñoz252@mail.cl,Femenino,2022-04-21,Biobío,Chile,24.0,1254122.0,False,3,Teclado,2,Accesorios,1,298816,298816,App
2025-068,2025-05-18,54,Felipe,Valenzuela,felipe.valenzuela54@mail.cl,Femenino,2024-04-13,Coquimbo,Chile,39.0,618834.0,True,5,Audífonos,2,Accesorios,4,67134,268536,Web
2025-069,2025-02-15,74,Sebastián,Díaz,sebastián.díaz74@mail.cl,Femenino,2023-04-02,Coquimbo,Chile,52.0,1662928.0,True,5,Audífonos,2,Accesorios,1,783221,783221,App
2025-070,2025-06-12,138,Valentina,Araya,valentina.araya138@mail.cl,Femenino,2024-05-22,Biobío,Chile,47.0,2328130.0,True,1,Notebook,1,Tecnología,3,717173,2151519,Web
2025-071,2025-07-01,268,Camila,Flores,camila.flores268@mail.cl,Masculino,2022-10-14,RM,Chile,20.0,1057685.0,False,4,Monitor,1,Tecnología,4,22828,91312,Tienda Física
2025-072,2025-07-07,228,Rodrigo,Soto,rodrigo.soto228@mail.cl,Femenino,2024-07-04,Valparaíso,Chile,67.0,638563.0,True,2,Mouse,2,Accesorios,2,448080,896160,Tienda Física
2025-073,2025-09-29,156,Diego,Valenzuela,diego.valenzuela156@mail.cl,Masculino,2022-07-21,Biobío,Chile,43.0,513224.0,True,1,Notebook,1,Tecnología,4,742763,2971052,App
2025-074,2025-06-30,283,Sebastián,Flores,sebastián.flores283@mail.cl,Masculino,2023-08-12,RM,Chile,28.0,919139.0,False,2,Mouse,2,Accesorios,3,61374,184122,App
2025-075,2025-06-11,233,Francisca,Muñoz,francisca.muñoz233@mail.cl,Femenino,2024-01-08,Araucanía,Chile,,1113474.0,True,5,Audífonos,2,Accesorios,2,302575,605150,Web
2025-076,2025-02-02,153,Diego,Silva,diego.silva153@mail.cl,Masculino,2024-10-05,Coquimbo,Chile,26.0,1799445.0,True,2,Mouse,2,Accesorios,3,71240,213720,App
2025-077,2025-01-16,12,Daniela,Espinoza,daniela.espinoza12@mail.cl,Masculino,2024-10-13,Araucanía,Chile,38.0,523247.0,True,3,Teclado,2,Accesorios,1,191196,191196,Tienda Física
2025-078,2025-04-21,228,Rodrigo,Soto,rodrigo.soto228@mail.cl,Femenino,2024-07-04,Valparaíso,Chile,67.0,638563.0,True,3,Teclado,2,Accesorios,1,389039,389039,Tienda Física
2025-079,2025-08-13,264,Constanza,Contreras,constanza.contreras264@mail.cl,Femenino,2024-07-28,RM,Chile,19.0,1843862.0,True,1,Notebook,1,Tecnología,4,283452,1133808,App
2025-080,2025-05-12,59,María,Araya,maría.araya59@mail.cl,Femenino,2023-10-19,RM,Chile,36.0,528251.0,False,3,Teclado,2,Accesorios,1,536492,536492,App
2025-081,2025-07-24,226,María,Araya,maría.araya226@mail.cl,Femenino,2024-05-05,Biobío,Chile,65.0,702053.0,True,4,Monitor,1,Tecnología,3,59067,177201,App
2025-082,2025-03-31,4,Francisca,Soto,francisca.soto4@mail.cl,Masculino,2024-01-18,RM,Chile,44.0,656730.0,True,1,Notebook,1,Tecnología,3,152980,458940,App
2025-083,2025-10-15,143,Valentina,Soto,valentina.soto143@mail.cl,Masculino,2023-01-26,Valparaíso,Chile,59.0,980703.0,False,4,Monitor,1,Tecnología,2,642336,1284672,Tienda Física
2025-084,2025-07-18,90,Rodrigo,Valenzuela,rodrigo.valenzuela90@mail.cl,Masculino,2022-03-21,Coquimbo,Chile,28.0,1231899.0,True,2,Mouse,2,Accesorios,1,436009,436009,Web
2025-085,2025-06-30,267,Sebastián,Araya,sebastián.araya267@mail.cl,Femenino,2022-09-18,RM,Chile,57.0,848619.0,False,4,Monitor,1,Tecnología,3,279150,837450,Tienda Física
2025-086,2025-06-24,49,Francisca,Rojas,francisca.rojas49@mail.cl,Femenino,2023-11-17,RM,Chile,49.0,1552590.0,False,4,Monitor,1,Tecnología,2,558277,1116554,Web
2025-087,2025-06-08,47,Rodrigo,González,rodrigo.gonzález47@mail.cl,Femenino,2022-06-30,Coquimbo,Chile,50.0,1148307.0,True,1,Notebook,1,Tecnología,2,676393,1352786,Web
2025-088,2025-03-25,5,Francisca,Araya,francisca.araya5@mail.cl,Femenino,2024-09-02,RM,Chile,64.0,1453277.0,True,4,Monitor,1,Tecnología,1,712922,712922,App
2025-089,2025-08-14,161,Camila,Martínez,camila.martínez161@mail.cl,Masculino,2022-05-28,Coquimbo,Chile,45.0,2225502.0,True,5,Audífonos,2,Accesorios,2,770084,1540168,App
2025-090,2025-03-03,294,Camila,Espinoza,camila.espinoza294@mail.cl,Masculino,2024-01-21,Coquimbo,Chile,25.0,1670575.0,False,6,Tablet,1,Tecnología,2,577597,1155194,Web
2025-091,2025-08-10,223,Diego,Morales,diego.morales223@mail.cl,Masculino,2024-04-05,Coquimbo,Chile,48.0,1071926.0,False,3,Teclado,2,Accesorios,2,577815,1155630,Web
2025-092,2025-04-18,235,María,Valenzuela,maría.valenzuela235@mail.cl,Femenino,2024-11-11,RM,Chile,20.0,1272944.0,False,1,Notebook,1,Tecnología,1,475226,475226,Web
2025-093,2025-01-11,50,Felipe,Muñoz,felipe.muñoz50@mail.cl,Masculino,2022-06-04,RM,Chile,43.0,697392.0,False,4,Monitor,1,Tecnología,4,773461,3093844,Web
2025-094,2025-03-09,272,Valentina,Araya,valentina.araya272@mail.cl,Masculino,2024-08-14,RM,Chile,31.0,,True,3,Teclado,2,Accesorios,4,782791,3131164,Tienda Física
2025-095,2025-11-28,90,Rodrigo,Valenzuela,rodrigo.valenzuela90@mail.cl,Masculino,2022-03-21,Coquimbo,Chile,28.0,1231899.0,True,3,Teclado,2,Accesorios,1,246562,246562,Tienda Física
2025-096,2025-09-17,154,Rodrigo,Espinoza,rodrigo.espinoza154@mail.cl,Femenino,2024-02-18,Coquimbo,Chile,63.0,784260.0,True,4,Monitor,1,Tecnología,3,270220,810660,App
2025-097,2025-04-17,273,Diego,Díaz,diego.díaz273@mail.cl,Femenino,2024-03-07,Valparaíso,Chile,52.0,717285.0,True,3,Teclado,2,Accesorios,1,78431,78431,App
2025-098,2025-01-08,247,Valentina,Soto,valentina.soto247@mail.cl,Femenino,2023-11-04,Coquimbo,Chile,49.0,1872401.0,False,5,Audífonos,2,Accesorios,2,2724276,5448552,App
2025-099,2025-11-17,94,Daniela,López,daniela.lópez94@mail.cl,Femenino,2023-06-24,RM,Chile,58.0,1291267.0,False,3,Teclado,2,Accesorios,3,434528,1303584,Tienda Física
2025-100,2025-03-29,84,Diego,Soto,diego.soto84@mail.cl,Masculino,2023-05-15,RM,Chile,24.0,1192440.0,True,2,Mouse,2,Accesorios,2,509797,1019594,Web
2025-101,2025-02-05,74,Sebastián,Díaz,sebastián.díaz74@mail.cl,Femenino,2023-04-02,Coquimbo,Chile,52.0,1662928.0,True,5,Audífonos,2,Accesorios,4,734479,2937916,App
2025-102,2025-06-20,255,Rodrigo,Martínez,rodrigo.martínez255@mail.cl,Masculino,2022-05-02,RM,Chile,63.0,1094604.0,False,5,Audífonos,2,Accesorios,4,597515,2390060,App
2025-103,2025-04-01,55,Francisca,Valenzuela,francisca.valenzuela55@mail.cl,Femenino,2022-05-30,Coquimbo,Chile,39.0,1579600.0,False,6,Tablet,1,Tecnología,1,512648,512648,Web
2025-104,2025-06-22,141,Rodrigo,Soto,rodrigo.soto141@mail.cl,Masculino,2024-11-12,Coquimbo,Chile,50.0,1698744.0,True,2,Mouse,2,Accesorios,4,295960,1183840,App
2025-105,2025-09-04,248,Juan,Muñoz,juan.muñoz248@mail.cl,Masculino,2024-03-11,Antofagasta,Chile,47.0,1768300.0,False,3,Teclado,2,Accesorios,2,400642,801284,Web
2025-106,2025-03-30,160,Andrés,Soto,andrés.soto160@mail.cl,Femenino,2022-06-05,RM,Chile,66.0,1795302.0,True,5,Audífonos,2,Accesorios,3,620032,1860096,Tienda Física
2025-107,2025-04-04,117,Andrés,Martínez,andrés.martínez117@mail.cl,Femenino,2022-09-06,Coquimbo,Chile,39.0,1427982.0,False,3,Teclado,2,Accesorios,3,13696,41088,Tienda Física
2025-108,2025-12-12,91,Camila,Rojas,camila.rojas91@mail.cl,Masculino,2022-02-16,Valparaíso,Chile,31.0,759214.0,True,6,Tablet,1,Tecnología,1,55740,55740,Web
2025-109,2025-04-01,181,Felipe,Pérez,felipe.pérez181@mail.cl,Femenino,2022-12-08,RM,Chile,48.0,2024357.0,True,2,Mouse,2,Accesorios,4,455376,1821504,App
2025-110,2025-02-27,257,María,Rojas,maría.rojas257@mail.cl,Femenino,2023-07-03,Araucanía,Chile,58.0,984410.0,True,2,Mouse,2,Accesorios,1,40099,40099,Tienda Física
2025-111,2025-11-11,266,Felipe,Martínez,felipe.martínez266@mail.cl,Femenino,2022-05-10,RM,Chile,34.0,2460826.0,True,3,Teclado,2,Accesorios,1,489336,489336,Web
2025-112,2025-10-05,193,Constanza,Silva,constanza.silva193@mail.cl,Masculino,2023-10-23,Biobío,Chile,54.0,2140821.0,False,2,Mouse,2,Accesorios,4,44540,178160,Web
2025-113,2025-03-09,221,Daniela,Rojas,daniela.rojas221@mail.cl,Femenino,2022-04-02,Antofagasta,Chile,65.0,2025416.0,True,5,Audífonos,2,Accesorios,4,399770,1599080,Tienda Física
2025-114,2025-04-09,149,Pedro,Rojas,pedro.rojas149@mail.cl,Femenino,2024-03-04,RM,Chile,22.0,1095603.0,True,4,Monitor,1,Tecnología,2,267906,535812,Tienda Física
2025-115,2025-07-07,109,Juan,Silva,juan.silva109@mail.cl,Masculino,2024-10-16,RM,Chile,59.0,753490.0,True,2,Mouse,2,Accesorios,4,279956,1119824,Web
2025-116,2025-10-06,132,Camila,Rojas,camila.rojas132@mail.cl,Femenino,2022-08-13,Valparaíso,Chile,29.0,889678.0,True,2,Mouse,2,Accesorios,4,320001,1280004,Web
2025-117,2025-02-10,221,Daniela,Rojas,daniela.rojas221@mail.cl,Femenino,2022-04-02,Antofagasta,Chile,65.0,2025416.0,True,3,Teclado,2,Accesorios,4,223606,894424,App
2025-118,2025-07-14,271,Andrés,Pérez,andrés.pérez271@mail.cl,Masculino,2022-06-14,Biobío,Chile,,841815.0,False,3,Teclado,2,Accesorios,4,155342,621368,Web
2025-119,2025-01-24,164,María,González,maría.gonzález164@mail.cl,Femenino,2024-10-06,Coquimbo,Chile,45.0,1062288.0,False,2,Mouse,2,Accesorios,4,157745,630980,Web
2025-120,2025-09-05,181,Felipe,Pérez,felipe.pérez181@mail.cl,Femenino,2022-12-08,RM,Chile,48.0,2024357.0,True,4,Monitor,1,Tecnología,3,447100,1341300,Web
2025-121,2025-06-30,254,Carolina,López,carolina.lópez254@mail.cl,Femenino,2024-08-28,Valparaíso,Chile,29.0,641398.0,False,6,Tablet,1,Tecnología,1,59976,59976,Web
2025-122,2025-07-07,249,Francisca,Soto,francisca.soto249@mail.cl,Masculino,2022-07-13,Araucanía,Chile,43.0,550861.0,False,6,Tablet,1,Tecnología,2,773529,1547058,Tienda Física
2025-123,2025-03-26,103,Camila,Espinoza,camila.espinoza103@mail.cl,Masculino,2024-05-30,Biobío,Chile,,1584763.0,True,5,Audífonos,2,Accesorios,4,723087,2892348,Tienda Física
2025-124,2025-08-27,38,Daniela,González,daniela.gonzález38@mail.cl,Femenino,2023-09-20,RM,Chile,25.0,1291971.0,False,1,Notebook,1,Tecnología,1,163484,163484,Tienda Física
2025-125,2025-07-09,30,Juan,Valenzuela,juan.valenzuela30@mail.cl,Femenino,2022-10-07,Coquimbo,Chile,51.0,1483237.0,False,5,Audífonos,2,Accesorios,1,559999,559999,Tienda Física
2025-126,2025-07-04,206,Rodrigo,Espinoza,rodrigo.espinoza206@mail.cl,Femenino,2022-11-20,Valparaíso,Chile,54.0,933816.0,False,6,Tablet,1,Tecnología,4,373898,1495592,Tienda Física
2025-127,2025-02-08,228,Rodrigo,Soto,rodrigo.soto228@mail.cl,Femenino,2024-07-04,Valparaíso,Chile,67.0,638563.0,True,6,Tablet,1,Tecnología,1,274852,274852,Web
2025-128,2025-02-28,272,Valentina,Araya,valentina.araya272@mail.cl,Masculino,2024-08-14,RM,Chile,31.0,,True,2,Mouse,2,Accesorios,2,712495,1424990,Tienda Física
2025-129,2025-09-12,162,Daniela,González,daniela.gonzález162@mail.cl,Masculino,2024-09-16,Valparaíso,Chile,36.0,,False,6,Tablet,1,Tecnología,1,215776,215776,Tienda Física
2025-130,2025-08-02,10,Camila,Muñoz,camila.muñoz10@mail.cl,Femenino,2023-07-20,,Chile,46.0,1987550.0,False,1,Notebook,1,Tecnología,1,753859,753859,Tienda Física
2025-131,2025-05-03,153,Diego,Silva,diego.silva153@mail.cl,Masculino,2024-10-05,Coquimbo,Chile,26.0,1799445.0,True,5,Audífonos,2,Accesorios,1,794192,794192,Tienda Física
2025-132,2025-02-20,217,Andrés,Morales,andrés.morales217@mail.cl,Femenino,2024-09-10,RM,Chile,55.0,2225690.0,True,4,Monitor,1,Tecnología,1,282872,282872,Tienda Física
2025-133,2025-07-13,88,Rodrigo,Araya,rodrigo.araya88@mail.cl,Femenino,2023-05-20,RM,Chile,66.0,2096824.0,False,3,Teclado,2,Accesorios,2,422672,845344,Tienda Física
2025-134,2025-05-06,167,Juan,Contreras,juan.contreras167@mail.cl,Masculino,2024-10-28,RM,Chile,20.0,1005815.0,True,1,Notebook,1,Tecnología,1,423089,423089,Tienda Física
2025-135,2025-03-14,169,Pedro,González,pedro.gonzález169@mail.cl,Femenino,2024-10-03,Valparaíso,Chile,52.0,534911.0,False,5,Audífonos,2,Accesorios,2,702485,1404970,Web
2025-136,2025-12-03,3,Daniela,Araya,daniela.araya3@mail.cl,Femenino,2024-03-16,RM,Chile,38.0,1762752.0,False,1,Notebook,1,Tecnología,4,683647,2734588,Tienda Física
2025-137,2025-07-02,109,Juan,Silva,juan.silva109@mail.cl,Masculino,2024-10-16,RM,Chile,59.0,753490.0,True,1,Notebook,1,Tecnología,1,639698,639698,App
2025-138,2025-04-10,271,Andrés,Pérez,andrés.pérez271@mail.cl,Masculino,2022-06-14,Biobío,Chile,,841815.0,False,4,Monitor,1,Tecnología,2,211554,423108,Tienda Física
2025-139,2025-11-10,78,Carolina,Flores,carolina.flores78@mail.cl,Masculino,2022-03-17,RM,Chile,45.0,2024429.0,True,1,Notebook,1,Tecnología,2,80305,160610,Web
